METHOD	PATH	HANDLER
GET	/api/v1/erp-sync/sync-definitions/{id}	get_sync_definition
POST	/api/v1/erp-sync/sync-definitions/{id}/retire	retire_sync_definition
POST	/api/v1/erp-sync/sync-definitions/{id}/supersede	supersede_sync_definition
GET	/api/v1/erp-sync/sync-runs	list_sync_runs
POST	/api/v1/erp-sync/sync-runs	create_sync_run
GET	/api/v1/erp-sync/sync-runs/{id}	get_sync_run
GET	/api/v1/erp-sync/sync-runs/{id}/drift-report	get_sync_run_drift_report
GET	/api/v1/erp-sync/sync-runs/{id}/errors	get_sync_run_errors
GET	/api/v1/erp-sync/sync-runs/{id}/evidence	get_sync_run_evidence
POST	/api/v1/erp-sync/sync-runs/{id}/publish	publish_sync_run
POST	/api/v1/erp-sync/sync-runs/{id}/replay	replay_sync_run
POST	/api/v1/erp-sync/sync-runs/{id}/resume	resume_sync_run
GET	/api/v1/expenses	list_expenses
POST	/api/v1/expenses	submit_expense
GET	/api/v1/expenses/analytics	analytics
GET	/api/v1/expenses/policy	get_policy
PATCH	/api/v1/expenses/policy	patch_policy
GET	/api/v1/expenses/{claim_id}	get_expense_claim
POST	/api/v1/expenses/{claim_id}/approve	approve_expense_claim
GET	/api/v1/financial-risk/materiality-rules	list_materiality_rules
POST	/api/v1/financial-risk/materiality-rules	create_materiality_rule
GET	/api/v1/financial-risk/materiality-rules/{id}/versions	list_materiality_rule_versions
GET	/api/v1/financial-risk/risk-definitions	list_risk_definitions
POST	/api/v1/financial-risk/risk-definitions	create_risk_definition
GET	/api/v1/financial-risk/risk-definitions/{id}/versions	list_risk_definition_versions
GET	/api/v1/financial-risk/risk-weights	list_risk_weights
POST	/api/v1/financial-risk/risk-weights	create_risk_weight
GET	/api/v1/financial-risk/risk-weights/{id}/versions	list_risk_weight_versions
POST	/api/v1/financial-risk/runs	create_run
GET	/api/v1/financial-risk/runs/{id}	get_run
GET	/api/v1/financial-risk/runs/{id}/evidence	list_run_evidence
POST	/api/v1/financial-risk/runs/{id}/execute	execute_run
GET	/api/v1/financial-risk/runs/{id}/results	list_run_results
GET	/api/v1/financial-risk/runs/{id}/rollforwards	list_run_rollforwards
GET	/api/v1/financial-risk/runs/{id}/signals	list_run_signals
GET	/api/v1/financial-risk/runs/{id}/summary	get_run_summary
GET	/api/v1/fixed-assets	get_assets
POST	/api/v1/fixed-assets	create_asset
GET	/api/v1/fixed-assets/asset-classes	get_asset_classes
POST	/api/v1/fixed-assets/asset-classes	create_asset_class
PATCH	/api/v1/fixed-assets/asset-classes/{asset_class_id}	update_asset_class
GET	/api/v1/fixed-assets/register	get_register
GET	/api/v1/fixed-assets/results/{run_id}	get_fixed_assets_results_endpoint
POST	/api/v1/fixed-assets/run	start_fixed_assets_run_endpoint
POST	/api/v1/fixed-assets/run-period-depreciation	run_period_depreciation
GET	/api/v1/fixed-assets/run/{run_id}	get_fixed_assets_run_status_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/assets/{asset_id}	get_fixed_asset_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/depreciation-lines/{line_id}	get_fixed_asset_depreciation_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/disposals/{disposal_id}	get_fixed_asset_disposal_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/impairments/{impairment_id}	get_fixed_asset_impairment_drill_endpoint
GET	/api/v1/fixed-assets/run/{run_id}/journal-entries/{journal_id}	get_fixed_asset_journal_drill_endpoint
GET	/api/v1/fixed-assets/{asset_id}	get_asset
PATCH	/api/v1/fixed-assets/{asset_id}	update_asset
GET	/api/v1/fixed-assets/{asset_id}/depreciation-history	get_depreciation_history
POST	/api/v1/fixed-assets/{asset_id}/depreciation-run	run_asset_depreciation
POST	/api/v1/fixed-assets/{asset_id}/dispose	dispose_asset
POST	/api/v1/fixed-assets/{asset_id}/impairment	post_impairment
GET	/api/v1/fixed-assets/{asset_id}/impairment-history	get_impairment_history
POST	/api/v1/fixed-assets/{asset_id}/revaluation	post_revaluation
GET	/api/v1/fixed-assets/{asset_id}/revaluation-history	get_revaluation_history
GET	/api/v1/forecast	list_runs
POST	/api/v1/forecast	create_run
GET	/api/v1/forecast/{run_id}	get_run
PATCH	/api/v1/forecast/{run_id}/assumptions/{key}	patch_assumption
POST	/api/v1/forecast/{run_id}/compute	compute
GET	/api/v1/forecast/{run_id}/export	export_run
POST	/api/v1/forecast/{run_id}/publish	publish
GET	/api/v1/forecast/{run_id}/vs-budget	vs_budget
POST	/api/v1/fx/apply-month-end	apply_month_end_endpoint
GET	/api/v1/fx/compare	compare_rates_endpoint
POST	/api/v1/fx/convert-daily	convert_daily_endpoint
POST	/api/v1/fx/fetch-live	fetch_live_rates_endpoint
GET	/api/v1/fx/manual-monthly	list_manual_monthly_rates_endpoint
POST	/api/v1/fx/manual-monthly	create_manual_monthly_rate_endpoint
GET	/api/v1/fx/rate-policies	list_rate_selection_policies
POST	/api/v1/fx/rate-policies	create_rate_selection_policy
GET	/api/v1/fx/rate-policies/{id}/versions	list_rate_selection_policy_versions
GET	/api/v1/fx/reporting-currencies	list_reporting_currency_definitions
POST	/api/v1/fx/reporting-currencies	create_reporting_currency_definition
GET	/api/v1/fx/reporting-currencies/{id}/versions	list_reporting_currency_definition_versions
POST	/api/v1/fx/runs	create_fx_translation_run
GET	/api/v1/fx/runs/{id}	get_fx_translation_run
GET	/api/v1/fx/runs/{id}/anomalies	list_fx_translated_anomalies
GET	/api/v1/fx/runs/{id}/board-pack	get_fx_translated_board_pack
GET	/api/v1/fx/runs/{id}/evidence	list_fx_translation_evidence
POST	/api/v1/fx/runs/{id}/execute	execute_fx_translation_run
GET	/api/v1/fx/runs/{id}/metrics	list_fx_translated_metrics
GET	/api/v1/fx/runs/{id}/risks	list_fx_translated_risks
GET	/api/v1/fx/runs/{id}/summary	get_fx_translation_run_summary
GET	/api/v1/fx/runs/{id}/variances	list_fx_translated_variances
GET	/api/v1/fx/translation-rules	list_translation_rule_definitions
POST	/api/v1/fx/translation-rules	create_translation_rule_definition
GET	/api/v1/fx/translation-rules/{id}/versions	list_translation_rule_definition_versions
POST	/api/v1/fx/variance	compute_variance_endpoint
GET	/api/v1/gaap/comparison	comparison_endpoint
POST	/api/v1/gaap/compute	compute_endpoint
GET	/api/v1/gaap/config	get_config_endpoint
PATCH	/api/v1/gaap/config	patch_config_endpoint
GET	/api/v1/gaap/{gaap_framework}/{period}	get_specific_endpoint
GET	/api/v1/gst/recon-items	list_gst_recon_items_endpoint
POST	/api/v1/gst/reconcile	run_gst_recon
GET	/api/v1/gst/returns	list_returns
POST	/api/v1/gst/returns	create_return
GET	/api/v1/gst/returns/{return_id}	get_return
GET	/api/v1/health	health_check
GET	/api/v1/health/ai	health_ai
GET	/api/v1/health/deep	deep_health_check
GET	/api/v1/health/queues	health_queues
GET	/api/v1/health/temporal	health_temporal
GET	/api/v1/health/workers	health_workers
POST	/api/v1/ingestion/email/ingest	email_ingest_endpoint
GET	/api/v1/ingestion/vendor-portal/status/{reference_id}	vendor_portal_status_endpoint
