CATEGORY	METHOD	PATH	HANDLER
misc	GET	/api/v1/equity/rules	list_rules
misc	POST	/api/v1/equity/rules	create_rule
misc	GET	/api/v1/equity/rules/{id}/versions	list_rule_versions
misc	POST	/api/v1/equity/runs	create_run
misc	GET	/api/v1/equity/runs/{id}	get_run
misc	GET	/api/v1/equity/runs/{id}/evidence	get_run_evidence
misc	POST	/api/v1/equity/runs/{id}/execute	execute_run
misc	GET	/api/v1/equity/runs/{id}/lines	get_run_lines
misc	GET	/api/v1/equity/runs/{id}/statement	get_run_statement
misc	GET	/api/v1/equity/runs/{id}/summary	get_run_summary
misc	POST	/api/v1/equity/source-mappings	create_source_mapping
misc	GET	/api/v1/equity/statements	list_statement_definitions
misc	POST	/api/v1/equity/statements	create_statement_definition
misc	GET	/api/v1/equity/statements/{id}/versions	list_statement_definition_versions
accounting	POST	/api/v1/erp-push/erp-push/jv/{jv_id}/push	push_jv_endpoint
accounting	POST	/api/v1/erp-push/erp-push/jv/{jv_id}/push-async	push_jv_async_endpoint
accounting	GET	/api/v1/erp-push/erp-push/jv/{jv_id}/push-status	get_push_status_endpoint
accounting	POST	/api/v1/erp-push/webhooks/qbo	qbo_webhook_endpoint
accounting	POST	/api/v1/erp-push/webhooks/tally	tally_webhook_endpoint
accounting	POST	/api/v1/erp-push/webhooks/zoho	zoho_webhook_endpoint
accounting	POST	/api/v1/erp-sync/backdated-alerts/{id}/acknowledge	acknowledge_backdated_alert
accounting	GET	/api/v1/erp-sync/connections	list_connections
accounting	POST	/api/v1/erp-sync/connections	create_connection
accounting	GET	/api/v1/erp-sync/connections/{connection_id}/oauth/callback	oauth_callback
accounting	POST	/api/v1/erp-sync/connections/{connection_id}/oauth/start	oauth_start
accounting	GET	/api/v1/erp-sync/connections/{id}	get_connection
accounting	POST	/api/v1/erp-sync/connections/{id}/activate	activate_connection
accounting	GET	/api/v1/erp-sync/connections/{id}/capabilities	list_connection_capabilities
accounting	POST	/api/v1/erp-sync/connections/{id}/revoke	revoke_connection
accounting	POST	/api/v1/erp-sync/connections/{id}/rotate-credentials	rotate_credentials
accounting	POST	/api/v1/erp-sync/connections/{id}/suspend	suspend_connection
accounting	POST	/api/v1/erp-sync/connections/{id}/test	test_connection
accounting	POST	/api/v1/erp-sync/connections/{id}/upgrade-connector-version	upgrade_connector_version
accounting	GET	/api/v1/erp-sync/connections/{id}/versions	list_connection_versions
accounting	GET	/api/v1/erp-sync/connectors	list_connectors
accounting	GET	/api/v1/erp-sync/connectors/{connector_type}/capabilities	get_connector_capabilities
accounting	GET	/api/v1/erp-sync/connectors/{connector_type}/versions	get_connector_versions
accounting	GET	/api/v1/erp-sync/datasets	list_datasets
accounting	GET	/api/v1/erp-sync/datasets/{dataset_type}	get_dataset
accounting	GET	/api/v1/erp-sync/datasets/{dataset_type}/periods	get_dataset_periods
accounting	POST	/api/v1/erp-sync/datasets/{dataset_type}/preview	preview_dataset
accounting	GET	/api/v1/erp-sync/datasets/{dataset_type}/template	get_dataset_template
accounting	GET	/api/v1/erp-sync/drift-reports	list_drift_reports
accounting	GET	/api/v1/erp-sync/drift-reports/{id}	get_drift_report
accounting	GET	/api/v1/erp-sync/health	get_sync_health
accounting	GET	/api/v1/erp-sync/health/alerts	list_health_alerts
accounting	GET	/api/v1/erp-sync/health/{connection_id}	get_connection_health
accounting	GET	/api/v1/erp-sync/mappings	list_mappings
accounting	POST	/api/v1/erp-sync/mappings	create_mapping
accounting	GET	/api/v1/erp-sync/mappings/{id}	get_mapping
accounting	GET	/api/v1/erp-sync/mappings/{id}/versions	list_mapping_versions
accounting	POST	/api/v1/erp-sync/mappings/{id}/versions	create_mapping_version
accounting	POST	/api/v1/erp-sync/mappings/{id}/versions/{vid}/activate	activate_mapping_version
accounting	GET	/api/v1/erp-sync/period-locks	list_period_locks
accounting	POST	/api/v1/erp-sync/period-locks	create_period_lock
accounting	GET	/api/v1/erp-sync/publish-events	list_publish_events
accounting	GET	/api/v1/erp-sync/publish-events/{id}	get_publish_event
accounting	POST	/api/v1/erp-sync/publish-events/{id}/approve	approve_publish_event
accounting	POST	/api/v1/erp-sync/publish-events/{id}/reject	reject_publish_event
accounting	GET	/api/v1/erp-sync/sync-definitions	list_sync_definitions
accounting	POST	/api/v1/erp-sync/sync-definitions	create_sync_definition
accounting	GET	/api/v1/erp-sync/sync-definitions/{id}	get_sync_definition
accounting	POST	/api/v1/erp-sync/sync-definitions/{id}/retire	retire_sync_definition
accounting	POST	/api/v1/erp-sync/sync-definitions/{id}/supersede	supersede_sync_definition
accounting	GET	/api/v1/erp-sync/sync-runs	list_sync_runs
accounting	POST	/api/v1/erp-sync/sync-runs	create_sync_run
accounting	GET	/api/v1/erp-sync/sync-runs/{id}	get_sync_run
accounting	GET	/api/v1/erp-sync/sync-runs/{id}/drift-report	get_sync_run_drift_report
accounting	GET	/api/v1/erp-sync/sync-runs/{id}/errors	get_sync_run_errors
accounting	GET	/api/v1/erp-sync/sync-runs/{id}/evidence	get_sync_run_evidence
accounting	POST	/api/v1/erp-sync/sync-runs/{id}/publish	publish_sync_run
accounting	POST	/api/v1/erp-sync/sync-runs/{id}/replay	replay_sync_run
accounting	POST	/api/v1/erp-sync/sync-runs/{id}/resume	resume_sync_run
misc	GET	/api/v1/expenses	list_expenses
misc	POST	/api/v1/expenses	submit_expense
misc	GET	/api/v1/expenses/analytics	analytics
misc	GET	/api/v1/expenses/policy	get_policy
misc	PATCH	/api/v1/expenses/policy	patch_policy
misc	GET	/api/v1/expenses/{claim_id}	get_expense_claim
misc	POST	/api/v1/expenses/{claim_id}/approve	approve_expense_claim
misc	GET	/api/v1/financial-risk/materiality-rules	list_materiality_rules
misc	POST	/api/v1/financial-risk/materiality-rules	create_materiality_rule
misc	GET	/api/v1/financial-risk/materiality-rules/{id}/versions	list_materiality_rule_versions
misc	GET	/api/v1/financial-risk/risk-definitions	list_risk_definitions
misc	POST	/api/v1/financial-risk/risk-definitions	create_risk_definition
misc	GET	/api/v1/financial-risk/risk-definitions/{id}/versions	list_risk_definition_versions
misc	GET	/api/v1/financial-risk/risk-weights	list_risk_weights
misc	POST	/api/v1/financial-risk/risk-weights	create_risk_weight
misc	GET	/api/v1/financial-risk/risk-weights/{id}/versions	list_risk_weight_versions
misc	POST	/api/v1/financial-risk/runs	create_run
misc	GET	/api/v1/financial-risk/runs/{id}	get_run
misc	GET	/api/v1/financial-risk/runs/{id}/evidence	list_run_evidence
